Targets,env,businessUnit,service,os,action
A01E01SDCPAW003:9182,pre-prod,SDT_PRE_PROD,ppd1-win,WINDOWS,Notify SDT,NA
A01E01SDCPAW004:9182,pre-prod,SDT_PRE_PROD,ppd1-win,WINDOWS,Notify SDT,NA
A01E01SDCPDL001:9100,pre-prod,SDT_PRE_PROD,ppd1-linux,LINUX,Notify SDT,NA
A01E01SDCPDL002:9100,pre-prod,SDT_PRE_PROD,ppd1-linux,LINUX,Notify SDT,NA
A01E01SDCPDL003:9100,pre-prod,SDT_PRE_PROD,ppd1-linux,LINUX,Notify SDT,NA
A01E01SDOMAL001:9100,pre-prod,SDT_PRE_PROD,ppd1-linux,LINUX,Notify SDT,NA
A01E01SDOMAL002:9100,pre-prod,SDT_PRE_PROD,ppd1-linux,LINUX,Notify SDT,NA
A01E01SDOMIL001:9100,pre-prod,SDT_PRE_PROD,ppd1-linux,LINUX,Notify SDT,NA
A01E01SDOMIL002:9100,pre-prod,SDT_PRE_PROD,ppd1-linux,LINUX,Notify SDT,NA
A01E01SDOMML001:9100,pre-prod,SDT_PRE_PROD,ppd1-linux,LINUX,Notify SDT,NA
A01E01SDOMSL001:9100,pre-prod,SDT_PRE_PROD,ppd1-linux,LINUX,Notify SDT,NA
A01E01SDOMSL002:9100,pre-prod,SDT_PRE_PROD,ppd1-linux,LINUX,Notify SDT,NA
A01E01SDOMZL001:9100,pre-prod,SDT_PRE_PROD,ppd1-linux,LINUX,Notify SDT,NA
A01E01SDOMZL002:9100,pre-prod,SDT_PRE_PROD,ppd1-linux,LINUX,Notify SDT,NA
A01E01SDOMZL003:9100,pre-prod,SDT_PRE_PROD,ppd1-linux,LINUX,Notify SDT,NA
A01E01SDPAAL003:9100,pre-prod,SDT_PRE_PROD,ppd1-linux,LINUX,Notify SDT,NA
A01E01SDPAAL004:9100,pre-prod,SDT_PRE_PROD,ppd1-linux,LINUX,Notify SDT,NA
A01E01SDPCAW001:9182,pre-prod,SDT_PRE_PROD,ppd1-win,WINDOWS,Notify SDT,NA
A01E01SDPCAW002:9182,pre-prod,SDT_PRE_PROD,ppd1-win,WINDOWS,Notify SDT,NA
A01E01SDPCMW001:9182,pre-prod,SDT_PRE_PROD,ppd1-win,WINDOWS,Notify SDT,NA
A01E01SDPCMW002:9182,pre-prod,SDT_PRE_PROD,ppd1-win,WINDOWS,Notify SDT,NA
A01E01SDPSAW005:9182,pre-prod,SDT_PRE_PROD,ppd1-win,WINDOWS,Notify SDT,NA
A01E01SDPSAW006:9182,pre-prod,SDT_PRE_PROD,ppd1-win,WINDOWS,Notify SDT,NA
A01E01SDPSAW007:9182,pre-prod,SDT_PRE_PROD,ppd1-win,WINDOWS,Notify SDT,NA
A01E01SDPSAW008:9182,pre-prod,SDT_PRE_PROD,ppd1-win,WINDOWS,Notify SDT,NA
A01E01SDSCAL001:9100,pre-prod,SDT_PRE_PROD,ppd1-linux,LINUX,Notify SDT,NA
A01E01SDSCAL002:9100,pre-prod,SDT_PRE_PROD,ppd1-linux,LINUX,Notify SDT,NA
A01C01SDCPAW003:9182,stage,SDT_STAGE,stg01-win,WINDOWS,Notify SDT,NA
A01C01SDCPAW004:9182,stage,SDT_STAGE,stg01-win,WINDOWS,Notify SDT,NA
A01C01SDCPDL001:9182,stage,SDT_STAGE,stg01-linux,WINDOWS,Notify SDT,NA
